,Artist Name,Release,Song Title,Artist Location,Duration (sec),Key,Key Confidence,Mode,Mode Confidence,Loudness,Tempo,Time Signature,Time Signature Confidence,End of Fade In,Interval 1 Count,Interval 2 Count,Interval 3 Count,Interval 4 Count,Interval 5 Count,Interval 6 Count,Interval 7 Count,Interval 8 Count,Interval 9 Count,Interval 10 Count,Interval 11 Count,Interval 12 Count
3970,Blind Willie Johnson,Sweeter As the Years Go By,Church_ I'm Fully Saved Today,"Marlin, TX",187.14077,10,0.626,1,0.613,-15.89,97.761,4,1.0,0.382,119.0,102.0,81.0,36.0,55.0,48.0,21.0,28.0,21.0,28.0,8.0,1.0
3971,Three-6 Mafia,Mystic Stylez: The First Album,We Got Da Dope,"Memphis, TN",159.81669,0,0.738,1,0.689,-9.33,157.991,4,0.269,0.164,83.0,106.0,29.0,65.0,120.0,35.0,43.0,43.0,23.0,31.0,99.0,35.0
3972,Coldplay,Live 2003,A Rush Of Blood To The Head (Live In Sydney),,410.8273,5,0.463,1,0.553,-8.229,138.038,4,0.59,0.0,609.0,59.0,56.0,45.0,37.0,69.0,10.0,32.0,16.0,46.0,15.0,5.0
3973,Jim Chappell,Living The Northern Summer,Adventure No. 8,United States,208.87465,9,0.998,1,0.848,-18.254,109.196,4,0.0,0.862,311.0,39.0,24.0,49.0,20.0,75.0,0.0,21.0,24.0,1.0,7.0,0.0
3974,OutKast featuring George Clinton,Aquemini,Synthesizer,"Atlanta, GA",311.30077,7,0.433,1,0.768,-6.791,94.904,4,0.575,0.0,339.0,315.0,167.0,89.0,70.0,80.0,75.0,111.0,87.0,110.0,45.0,23.0
3975,2-Gether feat. Sarinah,Feelin` Alone,Feelin` Alone,,294.00771,11,0.382,0,0.369,-6.38,127.977,4,0.347,0.0,418.0,323.0,89.0,24.0,34.0,143.0,185.0,12.0,16.0,10.0,30.0,16.0
3976,Black Flag,Live at The On Broadway 1982,Room 13,"Los Angeles, CA",79.51628,9,0.631,1,0.505,-4.606,190.6,4,0.581,0.0,37.0,38.0,20.0,14.0,18.0,15.0,16.0,17.0,6.0,6.0,6.0,5.0
3977,DJ Nasty,Tha Remixes Vol. 20,Shawty Get Loose,,191.89506,0,0.359,1,0.321,-3.631,130.149,4,0.467,0.0,178.0,144.0,66.0,67.0,83.0,104.0,72.0,56.0,18.0,20.0,66.0,66.0
3978,T-Bone,Seasons,Blue Moon,Thaba Nchu,248.45016,7,0.0,1,0.223,-7.836,124.04,4,0.551,0.0,275.0,64.0,236.0,42.0,112.0,65.0,19.0,157.0,20.0,58.0,7.0,21.0
3979,Terry Muska,Vihuela Fantasies - Roots Of The Classical Guitar Series,Fantasia 6: Mudarra,Texas,91.61098,2,0.656,0,0.838,-16.548,107.016,1,0.0,0.329,48.0,47.0,53.0,21.0,16.0,26.0,15.0,13.0,7.0,0.0,4.0,3.0
3980,Mike Vax,Live On The Road,Speak Low,,229.61587,2,0.339,0,0.546,-16.113,78.109,3,0.536,2.897,184.0,110.0,111.0,66.0,51.0,64.0,37.0,68.0,36.0,26.0,15.0,4.0
3981,Grant Geissman,Rustic Technology,Silent Movies (Album Version),"PEARLINGTON, Mississippi",349.23057,0,0.632,1,0.524,-13.752,100.329,3,0.848,0.439,460.0,97.0,177.0,101.0,79.0,107.0,19.0,116.0,35.0,112.0,37.0,16.0
3982,Commander Cody And His Lost Planet Airman,Hot To Trot,Riot In Cell Block N.9,,199.13098,5,0.585,1,0.464,-10.646,49.565,4,0.0,4.394,149.0,114.0,71.0,65.0,48.0,44.0,30.0,33.0,12.0,26.0,36.0,11.0
3983,John Davis,Blue Mountains,We've Got It All,Pennsylvania,121.91302,6,0.763,1,0.52,-11.534,102.769,4,1.0,0.38,215.0,36.0,30.0,21.0,13.0,8.0,7.0,9.0,3.0,1.0,0.0,0.0
3984,Tom Barabas,Classical Healing - Tom Barabas,Canon In D,,455.02649,2,0.684,1,0.964,-17.604,100.148,4,1.0,0.438,474.0,46.0,83.0,75.0,101.0,131.0,17.0,63.0,42.0,38.0,16.0,1.0
3985,Big Mike Griffin,Southern Shades Of Blue Volume II,Sittin' Here With Nothing,,233.53424,7,0.154,1,0.459,-5.815,137.496,5,0.966,0.34,345.0,262.0,34.0,25.0,38.0,65.0,55.0,27.0,16.0,5.0,7.0,2.0
3986,Rocker-T,More Luv,Jah The Only One,Wisconsin,265.37751,10,0.496,0,0.342,-6.089,147.882,4,0.4,0.218,618.0,143.0,123.0,26.0,25.0,38.0,23.0,35.0,21.0,27.0,49.0,40.0
3987,Beherit,Drawing Down the Moon,Lord of Shadows and Golden Wood,Helsinki,202.91873,11,0.512,1,0.472,-18.65,130.955,4,0.708,3.454,132.0,46.0,29.0,24.0,4.0,7.0,9.0,74.0,10.0,13.0,5.0,16.0
3988,Keb' Mo',Martin Scorsese Presents The Blues: Keb' Mo',Dangerous Mood,"Los Angeles, CA",297.66485,0,0.686,1,0.458,-9.032,106.802,3,1.0,0.0,395.0,141.0,68.0,41.0,47.0,61.0,66.0,102.0,11.0,10.0,32.0,20.0
3989,Rihanna,Save The Last Dance 2 Soundtrack,The Hotness (ft. Shontelle),"St Michael, Barbados ",190.4322,6,0.083,0,0.524,-8.464,116.012,5,0.927,0.142,151.0,150.0,122.0,79.0,90.0,137.0,65.0,38.0,32.0,7.0,23.0,9.0
3990,Fruko Y Sus Tesos,Greatest Hits 2,Lontananza,,189.88363,7,0.679,0,0.577,-8.445,106.449,4,0.603,0.427,433.0,147.0,49.0,21.0,19.0,105.0,50.0,64.0,33.0,40.0,8.0,7.0
3991,K'Naan,The Dusty Foot On The Road,Is It A Myth?,"Mogadishu, Somalia",213.13261,3,0.0,1,0.0,-14.254,100.567,3,0.082,0.0,117.0,122.0,72.0,58.0,70.0,46.0,32.0,15.0,13.0,8.0,8.0,5.0
3992,Luiz Bonfa,Le Roi de la Bossa Nova,Samba De Duas Notas,"Rio de Janeiro, Brazil",192.78322,4,0.328,0,0.374,-14.05,124.842,1,0.0,0.241,236.0,80.0,145.0,106.0,87.0,55.0,38.0,45.0,20.0,29.0,13.0,1.0
3993,Sven Scholander,Visans Gyllene Tid,Melangtäras intåg i Kallsta,,191.42485,0,0.7,1,0.626,-18.283,113.01,1,0.0,0.292,207.0,135.0,36.0,28.0,71.0,94.0,38.0,17.0,12.0,21.0,18.0,13.0
3994,Shaggy,Birch - Gangsta Rock Riddim,Still Caah Nicer Dan Yard,"Kingston, Jamaica",187.03628,2,0.396,1,0.37,-5.252,114.318,3,1.0,0.13,318.0,228.0,95.0,14.0,15.0,26.0,15.0,32.0,47.0,35.0,16.0,11.0
3995,Arthur Fiedler;Earl Wild;Pasquale Cardillo,Gershwin Greatest Hits,Rhapsody In Blue,"Boston, MA",976.56118,9,0.432,1,0.317,-19.303,127.579,4,0.457,3.39,934.0,354.0,393.0,313.0,225.0,200.0,79.0,156.0,100.0,66.0,62.0,25.0
3996,Helmet,Size Matters,Everybody Loves You,New York,206.94159,0,0.005,1,0.203,-3.568,112.77,4,0.806,0.073,220.0,28.0,32.0,36.0,36.0,34.0,9.0,53.0,8.0,4.0,11.0,3.0
3997,Soul Asylum,Say What You Will  Clarence...Karl Sold The Truck,Long Day (Album Version),"Minneapolis, MN",166.26893,11,0.169,0,0.415,-11.207,70.778,4,0.0,0.18,101.0,56.0,49.0,88.0,86.0,74.0,49.0,67.0,27.0,33.0,38.0,74.0
3998,Tex Williams,Smoke! Smoke! Smoke!,Castle Of My Dreams,"Ramsey, Fayette County, IL",148.79302,8,0.782,1,0.701,-12.845,40.875,4,0.0,0.16,136.0,58.0,55.0,69.0,36.0,39.0,24.0,28.0,33.0,1.0,11.0,3.0
3999,Miranda Lee Richards,The Herethereafter,The Long Goodbye,Los Angeles CA,243.722,0,0.609,1,0.659,-8.141,116.123,4,0.968,2.038,316.0,34.0,75.0,30.0,68.0,73.0,8.0,60.0,4.0,19.0,1.0,16.0
4000,The Cure,AOL Sessions,Lost,"Crawley, England",232.48934,2,0.759,1,0.704,-11.199,85.006,1,0.0,0.206,288.0,76.0,49.0,29.0,25.0,46.0,32.0,37.0,2.0,4.0,4.0,0.0
4001,Herbstrock,Halt mich,Halt mich,,203.4673,8,0.468,0,0.543,-4.295,99.995,4,0.394,0.0,462.0,25.0,44.0,22.0,16.0,32.0,4.0,33.0,6.0,0.0,8.0,16.0
4002,Will To Will,Take Me To Paradise,Take Me To Paradise (Nicky Scanni's Garage Mix),,508.65587,0,0.771,1,0.567,-18.495,129.818,4,0.0,0.104,531.0,505.0,407.0,122.0,96.0,92.0,39.0,120.0,80.0,133.0,69.0,44.0
4003,K's Choice,Paradise In Me,A Sound That Only You Can Hear,,252.83873,2,0.832,1,0.675,-6.575,87.495,4,0.785,0.444,235.0,55.0,74.0,56.0,43.0,80.0,12.0,53.0,11.0,3.0,1.0,5.0
4004,Tyrone Taylor,Reggae Max,I'm A Believer,,229.35465,7,0.396,1,0.596,-4.268,91.995,4,0.188,0.0,492.0,97.0,55.0,19.0,42.0,82.0,74.0,67.0,17.0,14.0,3.0,6.0
4005,Junior Jack,Thrill Me,Thrill Me (Atfc's Jackhammer Re-Rub),,482.55955,7,0.722,1,0.63,-11.985,0.0,3,1.0,0.2,559.0,316.0,118.0,23.0,158.0,198.0,983.0,224.0,15.0,52.0,98.0,10.0
4006,K-OS,Sony Connect Set,Sunday Morning (Sony Connect Set),,214.17751,9,0.718,0,0.632,-6.956,88.282,4,0.059,0.391,228.0,90.0,77.0,86.0,76.0,64.0,25.0,26.0,12.0,22.0,1.0,0.0
4007,Paul Cantelon,The Other Boleyn Girl,The Other Boleyn Girl - Opening Titles,,146.442,0,0.875,0,0.644,-20.178,130.183,3,1.0,2.026,181.0,11.0,16.0,10.0,9.0,23.0,4.0,16.0,4.0,9.0,2.0,3.0
4008,Blue Rodeo,Are You Ready,Up On That Cloud,"Toronto, Ontario, Canada",213.34159,2,0.601,1,0.713,-5.972,189.068,4,0.618,0.0,349.0,61.0,58.0,35.0,17.0,102.0,22.0,104.0,32.0,23.0,2.0,4.0
4009,Bobby Hutcherson,Happenings,Maiden Voyage (Rudy Van Gelder Edition) (2006 Digital Remaster),"Los Angeles, CA",349.72689,7,0.495,0,0.526,-12.939,86.446,5,0.486,0.241,529.0,69.0,161.0,60.0,46.0,147.0,18.0,81.0,28.0,29.0,14.0,7.0
4010,Rincon Morales,Explosion de Gaitas,Gaita Gaitero,,197.0673,11,0.546,1,0.328,-10.325,65.316,1,0.0,0.261,284.0,180.0,52.0,60.0,87.0,40.0,44.0,38.0,36.0,50.0,107.0,173.0
4011,Goatwhore,Eclipse of Ages Into Black,Liar of Nastrond,"New Orleans, LA",153.49506,0,0.56,0,0.591,-7.09,99.805,4,0.356,0.183,93.0,93.0,51.0,55.0,20.0,21.0,19.0,24.0,14.0,8.0,14.0,8.0
4012,The Police,Message In A Box,Man In A Suitcase,"London, England",137.45587,10,0.624,0,0.528,-11.636,159.106,4,0.574,0.293,94.0,107.0,49.0,37.0,29.0,38.0,24.0,14.0,27.0,33.0,20.0,10.0
4013,George Harrison,Somewhere In England,Baltimore Oriole (2004 Digital Remaster),"Liverpool, England",238.602,7,0.643,0,0.607,-6.692,71.756,4,0.117,0.229,298.0,61.0,67.0,35.0,12.0,78.0,18.0,58.0,9.0,8.0,11.0,4.0
4014,Connie Francis,Essential Christmas,Baby's First Christmas,"Newark, NJ",147.17342,6,0.824,1,0.715,-9.378,137.99,1,0.0,0.305,127.0,39.0,36.0,22.0,28.0,39.0,2.0,14.0,10.0,20.0,4.0,1.0
4015,D.O.W.N.,Southern Slang (Chopped & Screwed),Freeword,,350.11873,1,0.69,1,0.481,-7.063,109.791,4,0.468,0.0,358.0,253.0,138.0,154.0,143.0,125.0,58.0,38.0,25.0,11.0,11.0,0.0
4016,Oasis,Definitely Maybe,Columbia,"Manchester, England",376.99873,7,0.013,1,0.298,-3.811,100.382,4,1.0,7.506,669.0,97.0,49.0,3.0,4.0,12.0,10.0,37.0,38.0,38.0,1.0,1.0
4017,Ray Barretto,Tomorrow: Barretto Live,Vaya (Live At The Beacon Theatre),"Brooklyn, NY",413.07383,5,0.308,1,0.354,-10.999,82.815,3,1.0,0.0,596.0,118.0,145.0,167.0,58.0,188.0,76.0,194.0,34.0,53.0,54.0,4.0
4018,Adrienne Pierce,Faultline,Laundry & Dishes,Canada,269.63546,6,0.314,0,0.599,-8.425,151.945,3,0.894,0.121,326.0,58.0,49.0,58.0,21.0,59.0,4.0,26.0,29.0,10.0,36.0,17.0
4019,Mongo Santamaria,Afro Roots,Los Conguitos,"Havana, Cuba [Jesus Maria]",130.01098,8,0.762,0,0.764,-23.581,120.446,4,0.876,0.316,218.0,113.0,96.0,16.0,4.0,12.0,37.0,31.0,49.0,17.0,10.0,2.0
4020,OutKast,Aquemini,"Return Of The ""G","Atlanta, GA",289.25342,2,0.808,1,0.58,-6.407,156.688,4,0.801,0.0,480.0,273.0,68.0,42.0,48.0,70.0,121.0,48.0,42.0,22.0,10.0,8.0
4021,Guitar Slim,And... R&B was born,The Things That I Used To Do,"Greenwood, MS",183.06567,5,1.0,1,0.733,-13.164,96.731,3,1.0,0.345,127.0,34.0,89.0,62.0,34.0,62.0,10.0,36.0,22.0,24.0,5.0,2.0
4022,Fruko Y Sus Tesos,Pa Goza Con Fruko,Fruko's  Boogaloo,,263.33995,6,0.227,1,0.479,-6.974,219.796,4,0.749,0.287,461.0,234.0,39.0,49.0,78.0,98.0,29.0,46.0,65.0,36.0,115.0,92.0
4023,MIMS,Guilt,Life Of A Star,"New York, NY [Washington Heights]",230.53016,4,0.557,1,0.434,-4.213,127.779,5,1.0,0.0,249.0,194.0,171.0,79.0,51.0,56.0,20.0,23.0,22.0,14.0,36.0,13.0
4024,Selena,Mis Mejores Canciones - 17 Super Exitos,Estoy Contigo,Texas,198.45179,2,0.701,1,0.832,-10.333,104.795,4,0.526,0.607,154.0,55.0,82.0,40.0,48.0,85.0,11.0,49.0,30.0,38.0,13.0,3.0
4025,Dave Rave_ Mark McCarron,In the Blue of My Dreams,Face,CANADA - Ontario,90.38322,2,0.009,1,0.049,-19.661,92.005,4,0.533,0.339,49.0,19.0,27.0,13.0,11.0,13.0,7.0,9.0,8.0,4.0,5.0,1.0
4026,I.N.T.,Honey Hitters,Big Sister,NY - New York City,152.92036,7,0.0,0,0.282,-7.433,93.105,4,1.0,2.13,198.0,82.0,79.0,31.0,24.0,25.0,24.0,51.0,45.0,57.0,30.0,27.0
4027,The Edgar Broughton Band,Sing Brother Sing,Aphrodite (1999 Digital Remaster),,245.44608,0,0.952,1,0.763,-12.135,100.799,4,0.544,0.386,293.0,62.0,102.0,112.0,46.0,59.0,27.0,53.0,19.0,12.0,48.0,10.0
4028,TEN MADISON,Grounded,Leaving Melbourne,,283.76771,4,0.178,0,0.366,-7.827,133.326,5,0.974,7.488,448.0,164.0,73.0,100.0,114.0,43.0,42.0,157.0,50.0,37.0,49.0,20.0
4029,Malkit Singh,Akh Larh Gayee,Akh Larh Gayee,,370.85995,1,0.667,1,0.588,-14.03,101.13,4,1.0,0.0,581.0,156.0,210.0,169.0,26.0,146.0,34.0,228.0,95.0,44.0,130.0,42.0
4030,Quinteto Violado,Para Sempre,Galope A Beira Mar,,162.08934,7,1.0,1,0.697,-13.136,125.224,5,0.991,0.409,180.0,65.0,126.0,41.0,37.0,46.0,27.0,121.0,24.0,32.0,3.0,7.0
4031,Mobb Deep,Mobb Muzik (Clean Version),Where Ya Heart At,"Queensbridge, NY",264.64608,5,0.641,1,0.551,-7.101,93.976,4,1.0,0.078,332.0,125.0,82.0,102.0,90.0,83.0,116.0,58.0,108.0,38.0,2.0,1.0
4032,Alturas,Festejo...desde la piel,A ti,,279.84934,4,0.276,0,0.568,-12.891,136.874,4,0.275,0.0,424.0,96.0,168.0,73.0,96.0,83.0,16.0,97.0,9.0,42.0,4.0,31.0
4033,Phil Vassar,Prayer Of A Common Man,This Is My Life,"Lynchburg, VA",217.28608,11,0.383,0,0.438,-4.35,94.007,4,0.623,0.571,170.0,70.0,112.0,50.0,44.0,72.0,25.0,40.0,26.0,35.0,21.0,5.0
4034,Patricia Kaas,Mademoiselle Chante,Elle Voulait Jouer Cabaret,,247.11791,5,0.859,1,0.681,-8.016,130.272,5,0.99,2.287,273.0,124.0,93.0,74.0,38.0,46.0,32.0,39.0,59.0,27.0,8.0,4.0
4035,Kyle Eastwood,Metropolitain,Samba de Paris,,441.7824,10,0.549,1,0.452,-12.712,115.212,4,0.102,0.179,464.0,221.0,127.0,81.0,112.0,117.0,53.0,91.0,100.0,136.0,111.0,36.0
4036,Alice In Chains,Music Bank,God Smack,"Seattle, WA",230.60853,8,0.913,1,0.7,-4.438,124.144,4,0.352,0.073,172.0,79.0,75.0,33.0,32.0,61.0,40.0,58.0,29.0,20.0,58.0,22.0
4037,The Cat's Miaow,Songs For Girls To Sing,Portland_ Oregon,Australia,125.25669,4,0.941,1,0.674,-13.386,146.909,4,0.0,0.444,180.0,36.0,112.0,41.0,18.0,52.0,4.0,46.0,8.0,15.0,6.0,5.0
4038,Wild Horses,Rolling Stones Instrumental Renditions,Mother's Little Helper,,174.18404,2,0.517,1,0.596,-7.458,103.047,4,0.0,0.462,212.0,27.0,55.0,20.0,17.0,30.0,4.0,123.0,7.0,15.0,3.0,13.0
4039,Juelz Santana,What The Game's Been Missing!,Lil' Boy Fresh,"New York, NY [Harlem]",233.92608,11,0.623,0,0.575,-4.148,99.742,5,0.857,0.0,139.0,151.0,111.0,97.0,96.0,78.0,55.0,52.0,59.0,67.0,85.0,16.0
4040,Busdriver,Sun Shower,Sun Shower (Single Version),,223.68608,11,0.025,1,0.376,-7.331,130.129,4,0.015,0.188,403.0,59.0,39.0,70.0,55.0,27.0,30.0,160.0,56.0,58.0,53.0,11.0
4041,Gerald Clayton,Two-Shade,All Of You,,329.37751,10,0.287,0,0.362,-16.849,94.978,3,0.622,0.0,324.0,175.0,137.0,82.0,88.0,89.0,51.0,80.0,50.0,42.0,71.0,73.0
4042,Blackfoot,Tomcattin',Dream On (LP Version),"Jacksonville, FL",316.99546,11,0.552,0,0.33,-12.377,123.415,4,0.0,0.0,359.0,124.0,65.0,57.0,107.0,170.0,93.0,117.0,28.0,21.0,70.0,49.0
4043,DJ Rashad,Juke Trax Online Vol. 4,Juke Appeal,,306.59873,11,0.461,0,0.446,-8.656,160.046,4,0.687,0.0,410.0,235.0,107.0,360.0,177.0,60.0,85.0,100.0,67.0,22.0,42.0,39.0
4044,Dottie Rambo_ The Whites,Sheltered,New Shoes,"NASHVILLE, US",130.29832,2,0.137,1,0.565,-7.157,103.014,4,0.979,0.0,132.0,63.0,63.0,39.0,49.0,67.0,26.0,64.0,21.0,14.0,3.0,2.0
4045,Maria Muldaur,Rhino Hi-Five: Maria Muldaur,Sweet Harmony (LP Version),"New York, NY",288.41751,9,0.629,1,0.593,-10.861,146.936,4,0.161,0.421,339.0,86.0,100.0,69.0,43.0,65.0,10.0,73.0,44.0,15.0,4.0,4.0
4046,Stickboy,Love + Care,Stand Down,North Carolina,67.52608,6,0.421,0,0.413,-6.047,180.287,1,0.0,0.0,29.0,37.0,16.0,8.0,7.0,2.0,11.0,21.0,13.0,9.0,3.0,1.0
4047,Grandpa Jones,The Unforgettable Grandpa Jones,Don't Look Back,"Niagra, KY",139.78077,4,1.0,1,0.764,-11.901,129.391,4,0.0,0.415,102.0,18.0,35.0,58.0,30.0,50.0,7.0,35.0,7.0,4.0,11.0,17.0
4048,Curtis,Curtis,The River,,256.62649,7,0.533,1,0.634,-8.05,103.377,4,0.719,0.651,394.0,123.0,82.0,38.0,46.0,55.0,23.0,85.0,25.0,22.0,11.0,12.0
4049,Little Freddie King,Messin' Around tha House,Kinghead Shuffle (Little Freddie King),Louisiana,229.04118,9,0.228,1,0.246,-10.491,130.58,1,0.0,0.363,271.0,75.0,62.0,242.0,85.0,46.0,26.0,35.0,30.0,14.0,25.0,34.0
4050,Don Gibson,Lonesome Number One,Who Cares,"Shelby, North Carolina",142.94159,11,1.0,1,0.882,-13.524,104.943,4,1.0,0.136,207.0,43.0,43.0,38.0,25.0,137.0,31.0,51.0,19.0,4.0,20.0,23.0
4051,Dora The Explorer,Dora The Explorer,Tenemos Amigos,,59.95057,6,0.167,0,0.56,-6.167,106.298,4,0.992,2.467,50.0,20.0,13.0,36.0,16.0,18.0,12.0,17.0,14.0,5.0,9.0,8.0
4052,Spade Cooley,King Of Western Swing_ Vol. 5,Lover,,108.87791,2,0.413,0,0.39,-29.378,172.612,4,1.0,2.067,85.0,32.0,57.0,12.0,15.0,11.0,6.0,26.0,16.0,15.0,18.0,9.0
4053,Bruford,One Of A Kind,Forever Until Sunday,,351.42485,6,0.381,0,0.385,-14.857,78.136,3,1.0,4.859,447.0,84.0,109.0,96.0,46.0,110.0,22.0,65.0,34.0,21.0,18.0,19.0
4054,Joy Kitikonti,Agrimonyzer,Agrymonyzer (Matsingena Mix),,384.57424,11,0.465,0,0.283,-7.856,137.999,4,0.0,0.241,540.0,695.0,237.0,92.0,48.0,88.0,188.0,167.0,488.0,147.0,75.0,20.0
4055,Simon Harris,Beats_ Breaks_ & Scratches - Volume 2,You Make Me Feel So Good,,6.08608,1,0.0,1,0.0,-18.797,0.0,1,0.0,0.271,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4056,Sam Baker,Sugar Man,Just A Glance Away,"Austin, TX",167.10485,7,0.358,1,0.519,-17.756,95.882,1,0.0,0.121,253.0,54.0,47.0,17.0,15.0,51.0,19.0,41.0,5.0,5.0,8.0,23.0
4057,Bruce Springsteen,Hammersmith Odeon_ London '75,Rosalita (Come Out Tonight),"Freehold, NJ",591.62077,5,0.598,1,0.475,-5.67,167.559,1,0.0,0.0,528.0,202.0,196.0,126.0,119.0,183.0,48.0,169.0,81.0,149.0,46.0,12.0
4058,The Berzerker,The Berzerker,Humanity,"Melbourne, Australia",105.45587,11,0.038,0,0.38,-6.952,86.5,4,1.0,0.0,35.0,35.0,52.0,10.0,11.0,10.0,18.0,15.0,19.0,7.0,7.0,1.0
4059,Danny Wilson,Meet Danny Wilson,Spencer-Tracey,"Dundee, Scotland",92.42077,9,0.669,0,0.633,-14.655,158.208,4,0.491,4.319,85.0,34.0,19.0,10.0,26.0,26.0,5.0,11.0,17.0,15.0,4.0,13.0
4060,The Dreamtree Project,Jadur Madur,Bliss,,798.1971,0,0.243,1,0.392,-16.183,134.291,4,0.417,12.864,1334.0,274.0,345.0,136.0,169.0,131.0,25.0,306.0,54.0,169.0,6.0,63.0
4061,Snowgoons,A Fist In The Thought,Planetary Takeover,"Karlsruhe, Germany",239.64689,1,0.626,1,0.485,-4.615,94.281,4,0.918,0.142,478.0,150.0,28.0,49.0,109.0,67.0,30.0,15.0,14.0,15.0,25.0,4.0
4062,Iggy Pop,Ultimate live,Lust for life (recorded during the us tour in 1986),"Muskegon, MI",294.3473,1,0.866,0,0.643,-12.66,119.121,4,0.919,0.0,271.0,116.0,227.0,75.0,67.0,83.0,54.0,117.0,41.0,22.0,12.0,3.0
4063,XLNC,Kangna,Pichleh Janam Dee,,386.55955,1,0.456,0,0.365,-12.373,160.08,4,0.571,0.0,697.0,174.0,83.0,55.0,35.0,140.0,31.0,52.0,41.0,20.0,79.0,201.0
4064,Johnny Kidd And The Pirates,Heros Of Rock And Roll,Watermelon Man,,150.07302,7,0.205,1,0.601,-17.914,88.521,3,0.938,3.332,179.0,97.0,31.0,36.0,23.0,104.0,14.0,49.0,8.0,4.0,4.0,7.0
4065,Daddy Yankee / Bounty Killer,Caribbean Connection,Controlando El Area,Puerto Rico,212.08771,7,0.542,1,0.716,-5.394,220.311,4,1.0,0.0,222.0,148.0,83.0,57.0,73.0,68.0,55.0,50.0,48.0,42.0,75.0,55.0
4066,Luke Vibert,Lover's Acid,Gwithian,,418.79465,7,0.645,0,0.503,-15.199,101.905,4,1.0,0.287,797.0,227.0,141.0,115.0,69.0,77.0,44.0,100.0,46.0,14.0,21.0,14.0
4067,El Presidente,Turn This Thing Around,Turn This Thing Around,,213.05424,6,0.571,1,0.403,-4.353,111.043,4,0.791,1.036,206.0,105.0,83.0,67.0,70.0,120.0,24.0,62.0,49.0,40.0,19.0,8.0
4068,Blind Willie McTell,The Devil Can't Hide From Me,Boll Weevil,"Thomson, GA",116.34893,0,0.661,1,0.551,-15.872,130.36,4,0.062,0.223,62.0,69.0,64.0,57.0,40.0,34.0,16.0,30.0,1.0,16.0,0.0,0.0
4069,Angel Romero / The Academy of St. Martin in the Fields / Iona Brown,Baroque at Bathtime,Largo,,141.322,2,0.708,0,0.66,-29.128,106.98,4,0.141,1.1,79.0,58.0,75.0,16.0,9.0,12.0,2.0,11.0,5.0,3.0,1.0,4.0
4070,Claw Hammer,Ramwhale,Succotash,,291.7873,11,0.513,0,0.366,-9.467,149.167,4,0.421,0.176,216.0,162.0,127.0,122.0,79.0,54.0,17.0,97.0,15.0,20.0,37.0,19.0
4071,Pierre Perret,Le Plaisir des Dieux,Les Trois Orfèvres,,132.07465,9,0.0,1,0.0,-8.118,177.809,4,0.0,0.221,133.0,76.0,39.0,43.0,43.0,59.0,43.0,35.0,14.0,3.0,5.0,12.0
4072,Kool Keith,Sex Style,Don't Crush It,,258.19383,6,0.585,0,0.549,-6.062,90.902,4,0.774,0.0,248.0,153.0,114.0,56.0,76.0,79.0,107.0,163.0,70.0,35.0,57.0,10.0
4073,Undertakin' Daddies,Post Atomic Hillbilly,Pictou County Coal,,177.94567,7,0.494,1,0.558,-9.548,120.056,4,1.0,0.345,154.0,83.0,49.0,21.0,44.0,48.0,28.0,84.0,18.0,21.0,15.0,52.0
4074,Rocky Hill,Texas - A Musical Celebration One Texas Shuffle,Fool For You,DE,257.82812,7,0.523,1,0.608,-6.479,115.018,3,0.175,0.296,331.0,86.0,98.0,49.0,41.0,42.0,23.0,40.0,13.0,14.0,10.0,10.0
4075,Roy Drusky,30 Country Classics,Wasted Days And Wasted Nights,"Atlanta, GA",163.36934,4,0.532,1,0.381,-13.823,88.201,3,0.34,0.0,155.0,30.0,40.0,65.0,31.0,40.0,8.0,26.0,21.0,3.0,24.0,21.0
4076,C.C. Adcock,C.C. Adcock,What I Like (Womens),Louisiana,297.63873,5,0.163,0,0.228,-10.56,180.106,4,0.109,0.155,487.0,209.0,105.0,223.0,75.0,46.0,34.0,43.0,19.0,37.0,44.0,6.0
4077,MxPx,The Renaissance,Time Will Tell,"Bremerton, WA",88.73751,9,0.388,1,0.281,-4.404,134.492,1,0.496,0.242,92.0,55.0,37.0,23.0,26.0,26.0,32.0,31.0,10.0,6.0,3.0,2.0
4078,Julien Clerc,100 Chansons,Le Coeur Du Volcan,FR,174.15791,9,0.716,0,0.641,-6.755,115.756,3,0.959,0.328,282.0,86.0,41.0,25.0,34.0,37.0,18.0,32.0,6.0,24.0,11.0,6.0
4079,David & Steve Gordon,Drum Cargo - Rhythms of Wind,East Wind Drum Call,California,610.95138,11,0.137,0,0.385,-18.5,127.986,3,0.0,12.411,973.0,257.0,136.0,538.0,261.0,105.0,157.0,73.0,17.0,29.0,27.0,8.0
4080,Styles P,The Ghost In the Machine,Intro,"New York, NY [Queens]",85.02812,6,0.36,0,0.371,-11.895,93.412,3,0.949,0.223,73.0,58.0,38.0,20.0,12.0,6.0,5.0,11.0,7.0,18.0,18.0,30.0
4081,M.I.K.E.,Aquarius/Journey Of A Man/We're Here To Stay,We're Here To Stay,"Antwerp,Belgium, New York",479.81669,9,0.0,0,0.0,-7.383,136.021,4,0.0,0.0,544.0,435.0,348.0,150.0,46.0,76.0,30.0,212.0,201.0,393.0,202.0,73.0
